Name,Country,Date of Birth,Height,Appearance,Wins,Losses,Clean Sheet,Saves,Penalty Save,Punch,High Claim,Catch,Sweeper Clearance,Throw,Goal Kick,Goal Conceded,Error Lead To Goal,Own Goal,Yellow Card,Red Card,Foul,Goal,Assist,Total Pass,Total Pass Per Game,Long Ball
Adrián,Spain,03/01/1987,190,11,11,0,2,18,0,4,5,1,9,51,70,10,2,0,1,0,0,0,0,260,23.64,50
Alisson,Brazil,02/10/1992,191,29,23,3,13,58,0,9,7,6,19,140,167,23,1,0,0,1,1,0,1,805,27.76,115
Joseph Anang,England,08/06/2000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Kepa Arrizabalaga,Spain,03/10/1994,189,33,18,11,8,55,0,5,20,2,12,151,198,47,0,0,0,0,0,0,0,938,28.42,131
Daniel Atherton,England,18/12/1999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Daniel Bachmann,Austria,09/07/1994,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Nathan Baxter,England,08/11/1998,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Gavin Bazunu,Ireland,20/02/2002,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Asmir Begovic,Bosnia And Herzegovina,20/06/1987,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Nathan Bishop,England,15/10/1999,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Artur Boruc,Poland,20/02/1980,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Claudio Bravo,Chile,13/04/1983,184,4,2,2,1,8,0,2,0,1,0,17,28,7,0,0,0,0,0,0,0,119,29.75,22
Marcin Bulka,Poland,04/10/1999,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Mark Bunn,England,16/11/1984,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
David Button,England,27/02/1989,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Jack Bycroft,England,21/09/2001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Willy Caballero,Argentina,28/09/1981,186,5,2,1,1,10,0,1,1,0,2,17,28,7,0,0,0,0,0,0,0,147,29.40,31
Scott Carson,England,03/09/1985,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Petr Cech,Czech Republic,20/05/1982,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Jamie Cumming,England,04/09/1999,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Pontus Dahlberg,Sweden,21/01/1999,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Karl Darlow,England,08/10/1990,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Jonathan De Bie,Belgium,28/05/2000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
David de Gea,Spain,07/11/1990,192,38,18,8,13,96,0,9,9,11,3,153,268,36,3,0,2,0,0,0,0,786,20.68,96
William Dennis,England,10/07/2000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Martin Dubravka,Slovakia,15/01/1989,190,38,11,16,11,140,0,18,21,9,9,119,340,58,5,0,0,0,0,0,0,969,25.50,300
Jake Eastwood,England,03/10/1996,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Ederson,Brazil,17/08/1993,188,35,24,8,16,68,0,8,12,3,19,178,139,28,3,0,3,1,2,0,0,899,25.69,124
Robert Elliot,Ireland,30/04/1986,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Lukasz Fabianski,Poland,18/04/1985,190,25,8,10,5,72,1,15,10,8,4,100,192,34,3,0,1,0,1,0,0,572,22.88,201
Ralf Fährmann,Germany,27/09/1988,197,1,0,1,0,1,0,0,1,0,0,2,3,1,0,0,0,0,0,0,0,8,8.00,0
Fraser Forster,England,17/03/1988,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Ben Foster,England,03/04/1983,193,38,8,20,9,117,1,13,25,10,20,118,295,64,2,0,1,0,2,0,0,"1,089",28.66,323
Paulo Gazzaniga,Argentina,02/01/1992,196,18,5,8,2,59,1,3,7,7,9,63,142,26,1,0,1,0,1,0,0,456,25.33,76
Kamil Grabara,Poland,08/01/1999,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Lee Grant,England,27/01/1983,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Daniel Grimshaw,England,16/01/1998,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Vicente Guaita,Spain,10/01/1987,190,35,11,15,10,110,0,22,18,10,10,173,274,42,2,1,1,0,0,0,0,884,25.26,220
Angus Gunn,England,22/01/1996,196,10,2,6,2,30,0,2,3,2,6,27,77,25,0,0,0,0,0,0,0,231,23.10,43
Nathan Harker,England,05/11/1998,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Joe Hart,England,19/04/1987,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Tom Heaton,England,15/04/1986,188,20,6,11,4,68,0,6,10,7,7,99,195,35,0,1,0,0,1,0,0,527,26.35,118
Stephen Henderson,Ireland,02/05/1988,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Wayne Hennessey,Wales,24/01/1987,198,3,0,2,0,16,0,2,0,1,1,7,39,8,0,0,0,0,0,0,0,97,32.33,35
Dion Henry,England,12/09/1997,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
Heurelho Gomes,Brazil,15/02/1981,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
