Name,Country,Date of Birth,Height,Appearance,Wins,Losses,Goal,Assist,Goals Per Game,Headed Goals,Goals With Right Foot,Goals With Left Foot,Penalty Goals,Free Kick Goals,Shots,Shots On Target,Shooting Accuracy Rate,Hit Woodwork,Big Chance Missed,Total Passes,Total Passes Per Game,Big Chance Created,Crosses,Cross Accuracy Rate,Through Balls,Accurate Long Balls,Yellow Cards,Red Cards,Fouls,Offsides,Tackles,Tackle Success Rate,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerial Battles Won,Aerial Battles Lost,Errors Leading To Goal
Dennis Adeniran,England,02/01/1999,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Albert Adomah,Ghana,13/12/1987,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Adrien Silva,Portugal,15/03/1989,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Daniel Adshead,England,02/09/2001,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Soufyan Ahannach,Netherlands,09/09/1995,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Marc Albrighton,England,18/11/1989,175,20,8,7,0,3,0,0,0,0,0,0,10,2,20%,1,0,407,20.35,5,69,16%,3,23,2,0,7,1,24,71%,3,10,7,4,67,52,63,14,3,7,0
Aleix García,Spain,28/06/1997,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Allan,Brazil,03/03/1997,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Dele Alli,England,11/04/1996,188,25,9,8,8,4,0.32,0,6,2,1,0,42,19,45%,0,7,810,32.4,6,7,0%,4,17,2,0,12,6,34,47%,7,17,14,8,103,115,150,29,19,40,0
Miguel Almirón,Paraguay,10/02/1994,174,36,11,14,4,2,0.11,0,2,2,0,0,56,17,30%,1,9,829,23.03,3,41,17%,2,20,5,0,30,24,60,65%,19,31,16,7,189,174,170,46,10,28,0
Ibrahim Amadou,France,06/04/1993,183,11,2,7,0,0,0,0,0,0,0,0,6,1,17%,0,1,369,33.55,0,1,100%,0,15,1,0,8,0,18,61%,0,16,55,31,39,38,31,2,16,13,0
Daniel Amartey,Ghana,21/12/1994,186,0,0,0,0,0,,0,0,0,,,,,,0,,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Luke Amos,England,23/02/1997,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
André Gomes,Portugal,30/07/1993,188,19,6,7,0,1,0,0,0,0,0,0,5,0,0%,0,0,851,44.79,1,12,25%,3,85,6,0,38,0,22,68%,0,7,6,4,122,83,137,25,17,12,0
Andreas Pereira,Brazil,01/01/1996,178,25,12,6,1,3,0.04,0,0,1,0,0,37,14,38%,0,1,703,28.12,6,65,15%,2,30,3,0,27,3,24,54%,9,7,5,1,85,70,142,20,10,34,0
Angel Gomes,England,31/08/2000,161,2,1,1,0,0,0,0,0,0,0,0,0,0,0%,0,0,13,6.5,0,0,0%,1,2,0,0,1,0,0,0%,0,0,0,0,0,0,1,0,0,0,0
Faustino Anjorin,England,23/11/2001,185,1,1,0,0,0,0,0,0,0,0,0,1,0,0%,0,0,7,7,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,1,2,2,1,0,0,0
Michail Antonio,England,28/03/1990,180,24,7,12,10,3,0.42,2,7,1,1,0,68,31,46%,2,14,446,18.58,7,48,21%,5,9,3,0,41,11,13,69%,14,9,5,5,62,201,233,65,91,109,0
Stuart Armstrong,Scotland,30/03/1992,183,30,13,11,5,3,0.17,0,3,2,0,0,46,20,43%,0,1,579,19.3,2,23,22%,2,12,4,0,25,4,32,59%,11,11,22,9,106,95,131,30,14,30,0
Harry Arter,Ireland,28/12/1989,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Christian Atsu,Ghana,10/01/1992,165,19,5,8,0,3,0,0,0,0,0,0,5,1,20%,0,0,198,10.42,2,17,41%,1,5,2,0,11,4,10,80%,1,5,6,4,42,42,71,16,7,14,0
