,Age
0,20
1,33
2,25
3,31
4,22
5,30
6,23
7,28
8,31
9,26
10,36
11,29
12,27
13,35
14,32
15,24
16,25
17,30
18,25
19,31
20,29
21,32
22,18
23,28
24,27
25,35
26,31
27,29
28,25
29,24
30,24
31,27
32,32
33,31
34,34
35,33
36,22
37,33
38,30
39,27
40,21
41,23
42,28
43,29
44,29
45,29
46,28
47,26
48,26
49,32
50,22
51,31
52,22
53,27
54,22
55,35
56,28
57,28
58,34
59,19
60,22
61,23
62,26
63,29
64,25
65,36
66,24
67,38
68,21
69,31
70,26
71,26
72,22
73,29
74,27
75,22
76,29
77,23
78,32
79,27
80,23
81,26
82,20
83,26
84,27
85,29
86,26
87,30
88,31
89,31
90,27
91,26
92,27
93,34
94,26
95,27
96,29
97,31
98,23
99,26
100,27
101,21
102,29
103,36
104,28
105,34
106,19
107,20
108,26
109,32
110,32
111,32
112,33
113,27
114,27
115,24
116,26
117,30
118,30
119,21
120,27
121,20
122,30
123,29
124,31
125,28
126,25
127,28
128,24
129,29
130,32
131,28
132,31
133,23
134,31
135,23
136,23
137,24
138,24
139,29
140,30
141,26
142,21
143,25
144,21
145,23
146,30
147,29
148,33
149,28
150,20
151,30
152,23
153,23
154,21
155,25
156,26
157,27
158,32
159,35
160,35
161,27
162,26
