,Age
0,23
1,24
2,32
3,23
4,22
5,27
6,31
7,29
8,31
9,27
10,30
11,23
12,28
13,28
14,24
15,19
16,23
17,32
18,21
19,20
20,22
21,23
22,32
23,26
24,24
25,28
26,23
27,31
28,34
29,19
30,26
31,21
32,20
33,19
34,31
35,24
36,28
37,24
38,24
39,27
40,19
41,24
42,20
43,28
44,31
45,29
46,27
47,28
48,29
49,28
50,25
51,19
52,24
53,24
54,33
55,25
56,28
57,24
58,37
59,28
60,21
61,30
62,21
63,20
64,25
65,18
66,33
67,20
68,25
69,27
70,19
71,30
72,23
73,23
74,29
75,25
76,31
77,23
78,28
79,24
80,22
81,34
82,23
83,28
84,26
85,22
86,29
87,24
88,26
89,33
90,19
91,31
92,30
93,24
94,27
95,32
96,28
97,29
98,31
99,28
100,24
