,Age
0,31
1,24
2,26
3,27
4,27
5,25
6,20
7,19
8,30
9,28
10,28
11,26
12,22
13,26
14,28
15,24
16,24
17,27
18,27
19,22
20,32
21,24
22,23
23,28
24,23
25,25
26,26
27,22
28,24
29,26
30,31
31,31
32,25
33,22
34,29
35,31
36,25
37,26
38,22
39,21
40,28
41,22
42,19
43,30
44,26
45,25
46,17
47,28
48,27
49,27
50,35
51,29
52,20
53,24
54,26
55,27
56,19
57,19
58,25
59,21
60,20
61,25
62,28
63,28
64,31
65,24
66,25
67,29
68,30
69,21
70,30
71,22
72,29
73,25
74,25
75,25
76,34
77,19
78,29
79,29
80,29
81,25
82,31
83,31
84,26
85,32
86,28
87,30
88,27
89,24
90,28
91,33
92,26
93,23
94,28
95,24
96,24
97,32
98,32
99,20
100,33
101,30
102,26
103,26
104,22
105,24
106,23
107,26
108,28
109,21
110,24
111,28
112,25
113,29
114,34
115,31
116,30
117,27
118,21
119,26
120,24
121,24
122,25
123,33
124,29
125,26
126,27
127,32
128,29
129,27
130,26
131,29
132,22
133,25
134,26
135,21
136,31
137,24
138,29
139,29
140,23
141,29
142,30
143,19
144,31
145,23
146,29
147,28
148,31
149,34
150,31
151,20
152,20
153,20
154,33
155,25
156,31
157,31
158,29
159,34
160,21
161,34
162,23
163,24
164,29
165,26
166,27
167,31
168,28
169,29
170,26
171,30
172,30
173,21
174,29
175,24
176,28
177,24
