Name,Country,Date of Birth,Height,Appearance,Wins,Losses,Clean Sheet,Goal,Assist,Goal Conceded,Tackle,Tackle Success Rate,Last Man Tackle,Blocked Shots,Interceptions,Clearances,Headed Clearance,Clearances Off Line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial Battles Won,Aerial Battles Lost,Own Goals,Errors Leading To Goal,Passes,Passes Per Match,Big Chances Created,Crosses,Cross Accuracy %,Through Balls,Accurate Long Balls,Yellow Cards,Red Cards,Fouls,Offsides,Headed Goals,Goals With Right Foot,Goals With Left Foot,Hit Woodwork
Max Aarons,England,04/01/2000,178,36,4,26,5,0,1,71,48,63%,0,6,37,73,28,2,178,167,175,48,22,50,0,0,1339,37.19,7,73,22%,0,38,7,0,29,3,0,0,0,0
Ahmed El Mohamady,Egypt,09/09/1987,183,18,4,10,2,1,1,28,19,47%,0,1,13,22,10,0,73,60,51,7,30,21,0,0,498,27.67,3,58,33%,0,33,1,0,13,2,1,0,0,0
Nathan Aké,Netherlands,18/02/1995,180,29,7,16,4,2,2,46,31,68%,0,6,36,147,78,0,140,107,83,3,62,63,0,0,1210,41.72,2,5,0%,1,53,2,0,9,3,1,0,1,1
Toby Alderweireld,Belgium,02/03/1989,187,33,15,9,7,2,2,39,40,73%,0,3,31,170,82,1,154,117,109,0,73,73,1,0,1978,59.94,2,9,44%,12,141,7,0,18,1,1,1,0,0
Trent Alexander-Arnold,England,07/10/1998,175,38,32,3,12,4,13,32,55,62%,1,17,45,70,29,0,221,100,135,21,16,30,0,1,2440,64.21,18,382,21%,5,192,5,0,22,3,0,4,0,0
Marcos Alonso,Spain,28/12/1990,188,18,13,4,5,4,2,18,28,57%,0,11,20,25,15,0,96,97,80,12,42,31,0,0,908,50.44,4,66,30%,1,26,4,0,16,2,1,0,3,1
Angeliño,Spain,04/01/1997,170,6,4,2,0,0,0,7,5,40%,0,2,9,15,7,0,29,17,15,4,6,7,0,0,338,56.33,3,43,21%,0,7,1,0,2,0,0,0,0,1
Serge Aurier,Cote D'Ivoire,24/12/1992,176,33,15,9,6,1,5,32,93,74%,0,6,47,84,48,0,165,224,187,39,70,64,1,1,1281,38.82,4,137,15%,0,33,2,1,41,6,0,0,1,0
César Azpilicueta,Spain,28/08/1989,178,36,19,11,7,2,6,53,86,65%,0,9,67,81,40,1,172,205,158,12,93,64,0,0,2435,67.64,8,121,25%,0,80,1,0,40,3,0,2,0,0
Eric Bailly,Cote D'Ivoire,12/04/1994,187,4,3,0,1,0,0,1,0,0%,0,0,4,7,3,0,9,9,3,1,8,0,0,0,78,19.5,0,0,0%,0,4,0,0,2,0,0,0,0,0
Leighton Baines,England,11/12/1984,170,8,3,3,0,0,0,8,10,60%,0,0,5,10,4,0,17,21,14,2,5,7,0,0,155,19.38,1,27,37%,0,3,0,0,1,0,0,0,0,0
Fabián Balbuena,Paraguay,23/08/1991,188,17,6,9,3,1,0,24,17,71%,0,2,26,71,43,0,65,74,59,2,54,37,0,2,503,29.59,1,1,0%,1,35,2,0,6,0,0,1,0,0
George Baldock,England,09/03/1993,178,38,14,12,13,2,3,39,62,69%,0,3,34,69,35,0,167,186,172,42,39,57,0,1,1118,29.42,2,128,29%,0,22,7,0,47,11,0,2,0,0
Phil Bardsley,Scotland,28/06/1985,180,21,10,6,9,0,1,19,49,73%,0,4,30,66,36,1,80,102,77,4,38,26,0,0,658,31.33,3,33,18%,3,49,6,0,35,0,0,0,0,0
Chris Basham,England,20/07/1988,190,38,14,12,12,0,1,37,85,56%,0,0,77,167,102,0,188,247,140,24,109,62,0,1,1316,34.63,2,51,12%,0,70,4,0,26,5,0,0,0,0
Jan Bednarek,Poland,12/04/1996,189,34,12,15,7,1,1,57,65,58%,1,1,77,193,90,0,161,204,109,2,127,47,1,3,1537,45.21,1,1,0%,0,85,4,0,33,0,0,1,0,0
Héctor Bellerín,Spain,19/03/1995,178,15,6,5,3,1,0,18,20,65%,0,2,19,24,9,0,54,54,74,18,13,16,0,0,570,38.0,1,27,7%,0,14,2,0,15,1,0,0,1,0
Ryan Bennett,England,06/03/1990,188,16,6,5,2,0,0,17,9,67%,0,0,16,36,17,0,54,38,38,0,28,24,0,0,433,27.06,0,6,33%,0,23,2,0,7,0,0,0,0,0
Bernardo,Brazil,14/05/1995,186,14,3,6,0,0,0,17,27,59%,0,3,6,20,12,0,49,69,30,8,31,8,0,0,330,23.57,3,17,18%,0,12,1,0,3,4,0,0,0,0
Ryan Bertrand,England,05/08/1989,179,32,13,14,7,1,1,44,47,62%,0,4,37,28,11,0,118,149,147,11,59,58,0,0,1229,38.41,4,122,30%,2,43,3,1,27,1,0,1,0,0
Willy Boly,Cote D'Ivoire,03/02/1991,195,22,9,4,12,0,1,15,57,58%,0,2,39,103,62,0,117,160,75,9,87,29,0,0,984,44.73,2,2,0%,0,39,1,1,24,1,0,0,0,0
Gaëtan Bong,Cameroon,25/04/1988,187,4,1,1,0,0,0,3,1,0%,0,0,0,0,0,0,3,3,5,1,0,3,0,0,27,6.75,0,6,17%,0,1,0,0,0,0,0,0,0,0
Jarrad Branthwaite,England,27/06/2002,195,4,1,2,1,0,0,6,8,88%,0,0,2,11,7,0,18,20,21,1,9,15,0,0,223,55.75,0,0,0%,0,13,0,0,4,0,0,0,0,0
Dan Burn,England,09/05/1992,198,34,9,13,9,0,0,42,67,63%,0,3,42,122,76,0,156,239,157,19,141,53,0,0,1569,46.15,2,51,20%,3,45,5,0,32,3,0,0,0,1
Sam Byram,England,16/09/1993,180,17,4,9,3,0,0,23,40,55%,0,5,26,61,33,0,73,97,87,6,43,39,0,0,636,37.41,0,7,14%,0,15,4,0,16,1,0,0,0,1
Gary Cahill,England,19/12/1985,193,25,8,12,7,0,1,35,15,53%,0,8,18,111,56,0,98,115,77,4,87,52,0,0,1004,40.16,1,0,0%,0,73,1,0,14,0,0,0,0,0
Craig Cathcart,Northern Ireland,06/02/1989,188,29,6,15,8,0,0,37,41,63%,0,1,25,133,62,1,128,114,83,4,67,53,0,0,914,31.52,0,1,100%,1,66,7,0,13,0,0,0,0,0
Cédric Soares,Portugal,31/08/1991,172,21,11,7,3,1,1,20,53,60%,0,3,22,45,18,0,69,83,73,6,20,29,0,0,593,28.24,0,72,21%,1,29,1,0,16,0,0,0,1,0
Calum Chambers,England,20/01/1995,182,14,4,4,3,1,1,15,26,38%,0,4,16,41,25,0,69,77,69,11,37,31,0,0,796,56.86,4,34,12%,0,35,5,0,18,0,0,1,0,0
Ben Chilwell,England,21/12/1996,178,27,13,8,9,3,3,26,43,60%,0,3,28,54,26,0,161,147,148,19,56,38,0,0,1654,61.26,5,103,18%,3,54,3,0,29,1,0,1,2,1
Andreas Christensen,Denmark,10/04/1996,188,21,10,7,3,0,0,33,38,55%,0,1,29,56,33,0,107,120,73,4,69,51,0,0,1307,62.24,2,0,0%,2,52,5,0,17,0,0,0,0,0
Conor Coady,England,25/02/1993,185,38,15,9,13,0,0,40,36,64%,3,0,28,117,65,0,244,80,56,4,33,24,0,2,1849,48.66,1,0,0%,4,286,5,0,17,0,0,0,0,0
Séamus Coleman,Ireland,11/10/1988,177,27,9,10,5,0,1,28,42,74%,0,2,24,36,20,0,118,128,78,38,29,20,0,1,824,30.52,2,43,7%,0,33,3,1,19,1,0,0,0,0
Aaron Cresswell,England,15/12/1989,170,31,8,17,5,3,0,51,43,60%,0,3,35,59,30,1,172,116,111,11,45,40,0,0,1251,40.35,4,127,20%,0,67,7,0,16,2,0,1,2,0
