Name,Country,Date of Birth,Height,Appearance,Wins,Losses,Goal,Assist,Goals Per Game,Headed Goals,Goals With Right Foot,Goals With Left Foot,Penalty Goals,Free Kick Goals,Shots,Shots On Target,Shooting Accuracy Rate,Hit Woodwork,Big Chance Missed,Total Passes,Total Passes Per Game,Big Chance Created,Crosses,Yellow Cards,Red Cards,Fouls,Offsides,Tackles,Blocked shots,Interceptions,Clearances,Headed Clearance
Tammy Abraham,England,02/10/1997,190,34,19,10,15,3,0.44,3,12,0,0,0,88,40,45%,3,22,407,11.97,3,11,2,0,17,23,8,14,6,27,23
Che Adams,England,13/07/1996,175,30,13,12,4,2,0.13,0,4,0,0,0,36,10,28%,1,8,248,8.27,5,13,0,0,17,10,6,14,2,9,3
Sergio Agüero,Argentina,02/06/1988,173,24,16,6,16,3,0.67,2,12,2,2,0,76,28,37%,5,12,354,14.75,4,9,1,0,9,6,7,22,3,2,0
Albian Ajeti,Switzerland,26/02/1997,183,9,0,7,0,0,0.0,0,0,0,0,0,3,0,0%,0,0,15,1.67,0,0,0,0,6,2,1,2,0,0,0
Steven Alzate,Colombia,08/09/1998,180,19,5,8,0,0,0.0,0,0,0,0,0,13,3,23%,0,1,603,31.74,0,8,1,0,17,3,33,6,14,11,9
Florin Andone,Romania,11/04/1993,180,3,1,1,1,0,0.33,0,1,0,0,0,1,1,100%,0,0,12,4.0,0,0,0,1,2,0,1,0,0,1,1
Pierre-Emerick Aubameyang,Gabon,18/06/1989,187,36,14,10,22,3,0.61,3,16,3,2,1,93,42,45%,4,10,817,22.69,7,89,3,1,14,20,31,23,14,13,4
Jordan Ayew,Ghana,11/09/1991,182,37,11,16,9,2,0.24,1,7,1,0,0,58,24,41%,1,5,814,22.0,4,25,6,0,59,9,48,14,15,20,15
Ashley Barnes,England,30/10/1989,186,19,7,9,6,0,0.32,0,6,0,1,0,40,12,30%,0,7,251,13.21,0,5,4,0,35,13,10,8,6,8,4
Michy Batshuayi,Belgium,02/10/1993,184,16,7,6,1,1,0.06,0,0,1,0,0,15,2,13%,0,4,78,4.88,0,0,0,0,4,7,4,4,0,1,1
Christian Benteke,Belgium,03/12/1990,190,24,8,11,2,1,0.08,0,2,0,0,0,41,19,46%,3,3,337,14.04,4,5,4,1,25,12,9,7,4,28,20
