Name,Country,Date of Birth,Height,Appearance,Wins,Losses,Clean Sheet,Saves,Penalty Save,Punch,High Claim,Catch,Sweeper Clearance,Throw,Goal Kick,Goal Conceded,Error Lead To Goal,Own Goal,Yellow Card,Red Card,Foul,Goal,Assist,Total Pass,Total Pass Per Game,Long Ball
Adrián,Spain,03/01/1987,190.0,11,11,0,2,18,0,4,5,1,9,51,70,10,2,0,1,0,0,0,0,260,23.64,50
Alisson,Brazil,02/10/1992,191.0,29,23,3,13,58,0,9,7,6,19,140,167,23,1,0,0,1,1,0,1,805,27.76,115
Kepa Arrizabalaga,Spain,03/10/1994,189.0,33,18,11,8,55,0,5,20,2,12,151,198,47,0,0,0,0,0,0,0,938,28.42,131
Claudio Bravo,Chile,13/04/1983,184.0,4,2,2,1,8,0,2,0,1,0,17,28,7,0,0,0,0,0,0,0,119,29.75,22
Willy Caballero,Argentina,28/09/1981,186.0,5,2,1,1,10,0,1,1,0,2,17,28,7,0,0,0,0,0,0,0,147,29.4,31
David de Gea,Spain,07/11/1990,192.0,38,18,8,13,96,0,9,9,11,3,153,268,36,3,0,2,0,0,0,0,786,20.68,96
Martin Dubravka,Slovakia,15/01/1989,190.0,38,11,16,11,140,0,18,21,9,9,119,340,58,5,0,0,0,0,0,0,969,25.5,300
Ederson,Brazil,17/08/1993,188.0,35,24,8,16,68,0,8,12,3,19,178,139,28,3,0,3,1,2,0,0,899,25.69,124
Lukasz Fabianski,Poland,18/04/1985,190.0,25,8,10,5,72,1,15,10,8,4,100,192,34,3,0,1,0,1,0,0,572,22.88,201
Ralf Fährmann,Germany,27/09/1988,197.0,1,0,1,0,1,0,0,1,0,0,2,3,1,0,0,0,0,0,0,0,8,8.0,0
Ben Foster,England,03/04/1983,193.0,38,8,20,9,117,1,13,25,10,20,118,295,64,2,0,1,0,2,0,0,"1,089",28.66,323
Paulo Gazzaniga,Argentina,02/01/1992,196.0,18,5,8,2,59,1,3,7,7,9,63,142,26,1,0,1,0,1,0,0,456,25.33,76
Vicente Guaita,Spain,10/01/1987,190.0,35,11,15,10,110,0,22,18,10,10,173,274,42,2,1,1,0,0,0,0,884,25.26,220
Angus Gunn,England,22/01/1996,196.0,10,2,6,2,30,0,2,3,2,6,27,77,25,0,0,0,0,0,0,0,231,23.1,43
Tom Heaton,England,15/04/1986,188.0,20,6,11,4,68,0,6,10,7,7,99,195,35,0,1,0,0,1,0,0,527,26.35,118
Wayne Hennessey,Wales,24/01/1987,198.0,3,0,2,0,16,0,2,0,1,1,7,39,8,0,0,0,0,0,0,0,97,32.33,35
Roberto Jiménez,Spain,10/02/1986,192.0,8,0,6,0,36,0,8,0,1,2,26,41,17,2,1,0,0,0,0,0,203,25.38,49
Tim Krul,Netherlands,03/04/1988,188.0,36,5,25,5,132,2,20,28,3,10,198,332,68,1,1,4,0,1,0,0,"1,382",38.39,247
Bernd Leno,Germany,04/03/1992,190.0,30,9,8,7,113,1,17,17,11,15,185,253,39,2,0,2,0,0,0,0,800,26.67,74
Hugo Lloris,France,26/12/1986,188.0,21,11,4,6,81,1,10,12,2,1,97,150,21,2,0,0,0,0,0,0,474,22.57,122
Emiliano Martínez,Argentina,02/09/1992,195.0,9,5,3,3,34,0,1,8,4,2,48,61,9,0,0,2,0,0,0,0,245,27.22,33
Michael McGovern,Northern Ireland,12/07/1984,191.0,2,0,2,0,7,1,2,0,0,1,11,14,6,0,0,0,0,0,0,0,40,20.0,4
Pepe Reina,Spain,31/08/1982,188.0,12,3,6,2,33,1,3,5,2,6,51,94,20,1,0,1,0,1,0,0,345,28.75,101
Jordan Pickford,England,07/03/1994,185.0,38,13,15,9,94,0,11,19,7,9,195,264,56,4,0,2,0,1,0,0,"1,184",31.16,293
Ørjan Nyland,Norway,10/09/1990,192.0,7,1,4,1,15,0,1,3,2,0,29,53,12,0,0,0,0,0,0,0,152,21.71,35
Rui Patrício,Portugal,15/02/1988,190.0,38,15,9,13,91,2,5,19,7,3,127,283,40,2,0,0,0,0,0,0,734,19.32,281
Nick Pope,England,19/04/1992,191.0,38,15,14,15,120,1,11,46,6,18,180,304,50,2,0,1,0,0,0,0,"1,007",26.5,277
Aaron Ramsdale,England,14/05/1998,188.0,37,9,21,5,129,1,17,20,6,13,185,288,62,1,0,0,0,0,0,1,945,25.54,203
Darren Randolph,Ireland,12/05/1987,188.0,2,0,1,0,6,0,0,0,0,1,4,14,5,0,0,0,0,0,0,0,36,18.0,16
Mat Ryan,Australia,08/04/1992,184.0,38,9,15,9,117,0,11,16,5,8,255,274,54,0,0,0,0,0,0,0,"1,220",32.11,260
Kasper Schmeichel,Denmark,05/11/1986,189.0,38,18,12,13,96,2,8,14,12,8,159,241,41,1,0,2,0,0,0,0,"1,033",27.18,248
Jed Steer,England,23/09/1992,183.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2.0,0
Mark Travers,Ireland,18/05/1999,191.0,1,0,1,0,2,0,0,0,0,0,5,7,3,1,0,0,0,0,0,0,25,25.0,2
