Name,Country,Date of Birth,Height,Appearance,Wins,Losses,Goal,Assist,Goals Per Game,Headed Goals,Goals With Right Foot,Goals With Left Foot,Penalty Goals,Free Kick Goals,Shots,Shots On Target,Shooting Accuracy Rate,Hit Woodwork,Big Chance Missed,Total Passes,Total Passes Per Game,Big Chance Created,Crosses,Cross Accuracy Rate,Through Balls,Accurate Long Balls,Yellow Cards,Red Cards,Fouls,Offsides,Tackles,Tackle Success Rate,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels Won,Duels Lost,Successful 50/50s,Aerial Battles Won,Aerial Battles Lost,Errors Leading To Goal
Marc Albrighton,England,18/11/1989,175,20,8,7,0,3,0.0,0,0,0,0.0,0.0,10.0,2.0,20%,1,0.0,407,20.35,5,69,16%,3.0,23.0,2,0,7,1,24,71%,3,10,7,4,67.0,52.0,63.0,14.0,3.0,7.0,0.0
Dele Alli,England,11/04/1996,188,25,9,8,8,4,0.32,0,6,2,1.0,0.0,42.0,19.0,45%,0,7.0,810,32.4,6,7,0%,4.0,17.0,2,0,12,6,34,47%,7,17,14,8,103.0,115.0,150.0,29.0,19.0,40.0,0.0
Miguel Almirón,Paraguay,10/02/1994,174,36,11,14,4,2,0.11,0,2,2,0.0,0.0,56.0,17.0,30%,1,9.0,829,23.03,3,41,17%,2.0,20.0,5,0,30,24,60,65%,19,31,16,7,189.0,174.0,170.0,46.0,10.0,28.0,0.0
Ibrahim Amadou,France,06/04/1993,183,11,2,7,0,0,0.0,0,0,0,0.0,0.0,6.0,1.0,17%,0,1.0,369,33.55,0,1,100%,0.0,15.0,1,0,8,0,18,61%,0,16,55,31,39.0,38.0,31.0,2.0,16.0,13.0,0.0
André Gomes,Portugal,30/07/1993,188,19,6,7,0,1,0.0,0,0,0,0.0,0.0,5.0,0.0,0%,0,0.0,851,44.79,1,12,25%,3.0,85.0,6,0,38,0,22,68%,0,7,6,4,122.0,83.0,137.0,25.0,17.0,12.0,0.0
Andreas Pereira,Brazil,01/01/1996,178,25,12,6,1,3,0.04,0,0,1,0.0,0.0,37.0,14.0,38%,0,1.0,703,28.12,6,65,15%,2.0,30.0,3,0,27,3,24,54%,9,7,5,1,85.0,70.0,142.0,20.0,10.0,34.0,0.0
Angel Gomes,England,31/08/2000,161,2,1,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0%,0,0.0,13,6.5,0,0,0%,1.0,2.0,0,0,1,0,0,0%,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Faustino Anjorin,England,23/11/2001,185,1,1,0,0,0,0.0,0,0,0,0.0,0.0,1.0,0.0,0%,0,0.0,7,7.0,0,0,0%,0.0,0.0,0,0,0,0,0,0%,0,0,0,0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
Michail Antonio,England,28/03/1990,180,24,7,12,10,3,0.42,2,7,1,1.0,0.0,68.0,31.0,46%,2,14.0,446,18.58,7,48,21%,5.0,9.0,3,0,41,11,13,69%,14,9,5,5,62.0,201.0,233.0,65.0,91.0,109.0,0.0
Stuart Armstrong,Scotland,30/03/1992,183,30,13,11,5,3,0.17,0,3,2,0.0,0.0,46.0,20.0,43%,0,1.0,579,19.3,2,23,22%,2.0,12.0,4,0,25,4,32,59%,11,11,22,9,106.0,95.0,131.0,30.0,14.0,30.0,0.0
